name,price_usd,year,manufacturer,model,class,length_ft,fuel,hull_material,hull_shape
1952 meyers classic wishbone ketch1952 meyers classic wishbone ketch,806600,1952,meyers,classic wishbone ketch,sailing yachts,87,diesel,steel,
1993 custom gulet1993 custom gulet,425100,1993,custom,gulet,gulets (sail),87,diesel,wood,
2005 garcia garcia 852005 garcia garcia 85,1084550,2005,garcia,garcia 85,sloop boats,86,diesel,aluminum,monohull
1993 custom build gulet / ketch1993 custom build gulet / ketch,299750,1993,custom build,gulet / ketch,deck saloon sailboats,85,diesel,wood,
2002 jfa yachts jfa/vitters 822002 jfa yachts jfa/vitters 82,3052000,2002,jfa yachts,jfa/vitters 82,sailing yachts,82,diesel,aluminum,
1966 abeking & rasmussen aluminium sy1966 abeking & rasmussen aluminium sy,0,1966,abeking & rasmussen,aluminium sy,sloop boats,82,other,aluminum,
2011 ocean yachts carbon ocean 822011 ocean yachts carbon ocean 82,3161000,2011,ocean yachts,carbon ocean 82,racer/cruiser sailboats,82,diesel,other materials,
1991 frers 601991 frers 60,489410,1991,frers,60,sloop boats,82,diesel,aluminum,
1938 herreshoff 731938 herreshoff 73,768450,1938,herreshoff,73,sloop boats,82,diesel,wood,
2007 logger 25 meter tweemaster2007 logger 25 meter tweemaster,1008250,2007,logger,25 meter tweemaster,sloop boats,82,,steel,other
1995 m. caner - bodrum gulet / aynakic1995 m. caner - bodrum gulet / aynakic,414200,1995,m. caner - bodrum,gulet / aynakic,sailing yachts,81,diesel,wood,monohull
2024 test ne demande pas2024 test ne demande pas,40330,2024,test,ne demande pas,cutter,80,diesel,fiberglass / polyester,monohull
1929 thornycroft bermudan ketch 951929 thornycroft bermudan ketch 95,817500,1929,thornycroft,bermudan ketch 95,sloop boats,80,diesel,wood,other
1990 custom build gulet / aynakic1990 custom build gulet / aynakic,708500,1990,custom build,gulet / aynakic,sailing yachts,79,diesel,wood,
2024 sunreef 802024 sunreef 80,0,2024,sunreef,80,catamaran,79,other,composite,catamaran
2024 sunreef eco2024 sunreef eco,0,2024,sunreef,eco,catamaran,79,electric,other materials,catamaran
1996 eric goetz custom sailboats 801996 eric goetz custom sailboats 80,0,1996,eric goetz custom sailboats,80,racer sailboats,79,diesel,composite,
1995 mcconaghy r/p 79’ maxi1995 mcconaghy r/p 79’ maxi,926500,1995,mcconaghy,r/p 79’ maxi,racer/cruiser sailboats,79,diesel,composite,
2006 hoek design truly classic 782006 hoek design truly classic 78,1188100,2006,hoek design,truly classic 78,sloop boats,78,diesel,aluminum,
2003 marine vplp 772003 marine vplp 77,2169100,2003,marine,vplp 77,catamaran,78,diesel,composite,
1996 pendennis 771996 pendennis 77,981000,1996,pendennis,77,racer/cruiser sailboats,78,diesel,other materials,
1984 trehard ketch trehard 24m1984 trehard ketch trehard 24m,599500,1984,trehard,ketch trehard 24m,daysailers,78,diesel,other materials,
1994 unbekannt lady rose1994 unbekannt lady rose,476330,1994,unbekannt,lady rose,sailing yachts,78,,wood,
1994 ibrahim akbas bodrum caique turque1994 ibrahim akbas bodrum caique turque,414200,1994,ibrahim akbas bodrum,caique turque,daysailers,78,diesel,other materials,
2001 southern wind sw782001 southern wind sw78,1624100,2001,southern wind,sw78,racer/cruiser sailboats,78,diesel,composite,
1948 rondvaartboot 70 pax1948 rondvaartboot 70 pax,81750,1948,rondvaartboot,70 pax,sloop boats,78,diesel,steel,
2005 classic motor sailer2005 classic motor sailer,816410,2005,classic,motor sailer,sloop boats,78,diesel,steel,
2006 mediterranean ketch2006 mediterranean ketch,631110,2006,mediterranean,ketch,motor glider (sail),78,diesel,wood,
1935 custom stagsegelschoner1935 custom stagsegelschoner,817500,1935,custom,stagsegelschoner,classic sailboats,78,diesel,wood,
1991 scorpio 721991 scorpio 72,1667790,1991,scorpio,72,ketch sailing boats,77,diesel,fiberglass / polyester,
1988 ccyd 751988 ccyd 75,2725000,1988,ccyd,75,sloop boats,77,diesel,steel,
2010 cnb 772010 cnb 77,1635000,2010,cnb,77,sloop boats,77,diesel,aluminum,
2017 catana taino dc 652017 catana taino dc 65,1438800,2017,catana,taino dc 65,daysailers,77,diesel,other materials,
1992 goelette goélette1992 goelette goélette,158050,1992,goelette,goélette,daysailers,76,diesel,other materials,
2007 nautor swan 76 with a lifting keel2007 nautor swan 76 with a lifting keel,3815000,2007,nautor swan,76 with a lifting keel,racer/cruiser sailboats,76,diesel,composite,
2014 cnb cnb 762014 cnb cnb 76,2016500,2014,cnb,cnb 76,sailing yachts,76,diesel,composite,
1991 cnb cnb 761991 cnb cnb 76,752100,1991,cnb,cnb 76,sailing yachts,75,diesel,aluminum,
2014 custom unity 752014 custom unity 75,1415910,2014,custom,unity 75,sailing yachts,75,diesel,steel,
1981 bermuda schooner 23 meter1981 bermuda schooner 23 meter,506850,1981,bermuda,schooner 23 meter,sloop boats,75,diesel,steel,other
2015 sunreef 742015 sunreef 74,2943000,2015,sunreef,74,sloop boats,75,diesel,other materials,
2012 gaffers and luggers pilot cutter2012 gaffers and luggers pilot cutter,719890,2012,gaffers and luggers,pilot cutter,sloop boats,74,diesel,other materials,
2006 jongert 22002006 jongert 2200,3161000,2006,jongert,2200,sailing yachts,74,diesel,aluminum,
1994 bodrum skorpion 22.51994 bodrum skorpion 22.5,158050,1994,bodrum,skorpion 22.5,sailing yachts,73,diesel,wood,
1993 van de stadt 74 ocean ketch1993 van de stadt 74 ocean ketch,1199000,1993,van de stadt,74 ocean ketch,sloop boats,73,diesel,steel,
1986 irwin 681986 irwin 68,250781,1986,irwin,68,sailing yachts,72,diesel,fiberglass / polyester,
1989 alan pape williams boatyard 73 ft ketch1989 alan pape williams boatyard 73 ft ketch,430550,1989,alan pape,williams boatyard 73 ft ketch,classic sailboats,72,diesel,wood,other
1991 custom gulet1991 custom gulet,348800,1991,custom,gulet,gulets (sail),72,diesel,other materials,
2006 yachting developments marten 72 racer2006 yachting developments marten 72 racer,1081280,2006,yachting developments,marten 72 racer,racer sailboats,72,diesel,other materials,
2010 custom sloop 72 feet2010 custom sloop 72 feet,512300,2010,custom,sloop 72 feet,sailing yachts,72,diesel,fiberglass / polyester,monohull
1991 scorpio 721991 scorpio 72,424010,1991,scorpio,72,cleaner,72,diesel,fiberglass / polyester,
"2009 seaway shipman 72, sloop2009 seaway shipman 72, sloop",1406100,2009,seaway,"shipman 72, sloop",sailing yachts,72,diesel,composite,
2017 serenity dixon 722017 serenity dixon 72,2169100,2017,serenity,dixon 72,catamaran,72,diesel,composite,
2017 premier maxi 722017 premier maxi 72,0,2017,premier,maxi 72,racer sailboats,71,diesel,other materials,
1998 dencho marine fast cruising sloop1998 dencho marine fast cruising sloop,661556,1998,dencho marine,fast cruising sloop,sailing yachts,71,diesel,pvc (plastic),
1992 custom farr 721992 custom farr 72,730300,1992,custom,farr 72,racer/cruiser sailboats,71,diesel,other materials,
2010 vismara vismara v712010 vismara vismara v71,1351600,2010,vismara,vismara v71,racer/cruiser sailboats,71,diesel,other materials,
1973 custom sertral 721973 custom sertral 72,183120,1973,custom,sertral 72,ketch sailing boats,71,diesel,wood,
1989 maxi ocean racer 72 ft1989 maxi ocean racer 72 ft,190750,1989,maxi ocean racer,72 ft,sloop boats,71,diesel,other materials,
2010 futuna futuna 702010 futuna futuna 70,1324350,2010,futuna,futuna 70,sailing yachts,71,diesel,aluminum,monohull
1964 viudes ketch1964 viudes ketch,501400,1964,viudes,ketch,ketch sailing boats,71,diesel,wood,
1983 formosa new horizon 681983 formosa new horizon 68,201650,1983,formosa,new horizon 68,sloop boats,70,diesel,other materials,
1997 baltic 701997 baltic 70,751010,1997,baltic,70,sailing yachts,70,diesel,other materials,
1958 kotter 21.50 zeilkotter1958 kotter 21.50 zeilkotter,167860,1958,kotter 21.50,zeilkotter,sloop boats,70,diesel,steel,displacement
"1968 luhrs lührsen kutteryacht 21,50 m1968 luhrs lührsen kutteryacht 21,50 m",185300,1968,luhrs,"lührsen kutteryacht 21,50 m",motor glider (sail),70,diesel,wood,
2001 solaris 722001 solaris 72,850200,2001,solaris,72,sailing yachts,70,diesel,fiberglass / polyester,
2001 one design custom 702001 one design custom 70,123662,2001,one design,custom 70,sailing yachts,70,diesel,wood,monohull
2021 sunreef 702021 sunreef 70,0,2021,sunreef,70,catamaran,70,other,composite,catamaran
2021 ice yachts ice 702021 ice yachts ice 70,0,2021,ice yachts,ice 70,sailing yachts,69,diesel,composite,
1991 ta chiao scorpio 721991 ta chiao scorpio 72,424010,1991,ta chiao,scorpio 72,sailing yachts,69,other,other materials,displacement
1996 oyster cutter rigged sloop1996 oyster cutter rigged sloop,795700,1996,oyster,cutter rigged sloop,sailing yachts,69,diesel,fiberglass / polyester,
1987 jongert 21 s1987 jongert 21 s,654000,1987,jongert,21 s,sailboats with a center cockpit,69,diesel,steel,semi-displacement
1991 alu marine jeroboam ketch1991 alu marine jeroboam ketch,599500,1991,alu marine,jeroboam ketch,sailing yachts,68,diesel,aluminum,
1991 alu marine ketch alu jeroboam harle1991 alu marine ketch alu jeroboam harle,599500,1991,alu marine,ketch alu jeroboam harle,dinghy sailing boats,68,diesel,other materials,
1941 baglietto motorsailer bermudan ketch1941 baglietto motorsailer bermudan ketch,337900,1941,baglietto,motorsailer bermudan ketch,classic sailboats,68,diesel,wood,
1989 gulet c.n. izmir gulet 20 m caicco1989 gulet c.n. izmir gulet 20 m caicco,348800,1989,gulet,c.n. izmir gulet 20 m caicco,gulets (sail),68,diesel,wood,
1914 ab norvegian galeas1914 ab norvegian galeas,321550,1914,ab,norvegian galeas,classic sailboats,68,diesel,wood,
2005 custom build gulet / ketch2005 custom build gulet / ketch,365150,2005,custom build,gulet / ketch,sailing yachts,68,diesel,wood,
1995 kanter 661995 kanter 66,348800,1995,kanter,66,sailing yachts,67,diesel,steel,
2018 van de stadt van de stadt 672018 van de stadt van de stadt 67,239800,2018,van de stadt,van de stadt 67,sailing yachts,67,diesel,aluminum,monohull
2016 fountaine pajot victoria 672016 fountaine pajot victoria 67,1809400,2016,fountaine pajot,victoria 67,catamaran,67,diesel,fiberglass / polyester,catamaran
1996 devonport challenge business 671996 devonport challenge business 67,648550,1996,devonport challenge business,67,sloop boats,66,,steel,
2012 maxi dolphin nacira 672012 maxi dolphin nacira 67,1635000,2012,maxi dolphin,nacira 67,racer/cruiser sailboats,66,diesel,composite,
2014 fountaine pajot victoria 672014 fountaine pajot victoria 67,1847550,2014,fountaine pajot,victoria 67,catamaran,66,diesel,fiberglass / polyester,
1985 custom cn mag (francia) gilles vaton1985 custom cn mag (francia) gilles vaton,327000,1985,custom,cn mag (francia) gilles vaton,other (sailboats),66,diesel,aluminum,
2014 km yachtbuilders anabel2014 km yachtbuilders anabel,1907500,2014,km yachtbuilders,anabel,sailing yachts,66,diesel,aluminum,
2009 franchini franchini 63 s2009 franchini franchini 63 s,1035500,2009,franchini,franchini 63 s,sailing yachts,66,diesel,fiberglass / polyester,
1984 sciarelli schooner1984 sciarelli schooner,381500,1984,sciarelli,schooner,sloop boats,66,other,steel,
2016 hanse 6752016 hanse 675,1809400,2016,hanse,675,other (sailboats),65,diesel,other materials,
1954 arnis schlei matthiesen paulsen yawl classique matthiesen paulsen1954 arnis schlei matthiesen paulsen yawl classique matthiesen paulsen,201650,1954,arnis schlei matthiesen paulsen,yawl classique matthiesen paulsen,classic sailboats,65,diesel,other materials,
2006 custom 20m acubens sailing yacht2006 custom 20m acubens sailing yacht,490500,2006,custom,20m acubens sailing yacht,sailing yachts,65,diesel,steel,
2004 maxi dolphin 652004 maxi dolphin 65,1035500,2004,maxi dolphin,65,sloop boats,65,diesel,other materials,other
1993 custom phenix dixi1993 custom phenix dixi,436000,1993,custom,phenix dixi,sailing yachts,65,diesel,wood,
1983 jongert 20s1983 jongert 20s,463250,1983,jongert,20s,sloop boats,65,other,steel,
1993 mac lean & sons ltd 65 pilothouse1993 mac lean & sons ltd 65 pilothouse,163500,1993,mac lean & sons ltd,65 pilothouse,sailing yachts,65,diesel,fiberglass / polyester,
1984 blue ocean 651984 blue ocean 65,479600,1984,blue ocean,65,sloop boats,65,,aluminum,
2023 jeanneau 652023 jeanneau 65,1943887,2023,jeanneau,65,sailing yachts,64,diesel,fiberglass / polyester,monohull
2007 hanse hanse 6302007 hanse hanse 630,490500,2007,hanse,hanse 630,sailing yachts,64,diesel,other materials,
2003 meta meta joubert di2003 meta meta joubert di,523200,2003,meta,meta joubert di,dinghy sailing boats,64,diesel,other materials,
2023 neel 65 evolution2023 neel 65 evolution,0,2023,neel,65 evolution,trimming,64,diesel,fiberglass / polyester,
1989 ta chiao scorpio 721989 ta chiao scorpio 72,408750,1989,ta chiao,scorpio 72,ketch sailing boats,64,diesel,fiberglass / polyester,
2008 catana catana 652008 catana catana 65,1471500,2008,catana,catana 65,catamaran,64,diesel,composite,
2008 custom zeydon z602008 custom zeydon z60,599500,2008,custom,zeydon z60,racer/cruiser sailboats,64,diesel,fiberglass / polyester,
1966 sangermani yawl marconi1966 sangermani yawl marconi,539550,1966,sangermani,yawl marconi,dinghies and dinghy cruisers,64,diesel,wood,
2023 jeanneau 652023 jeanneau 65,0,2023,jeanneau,65,sailing yachts,64,other,other materials,
1976 ketch rondolini & figli ketch 641976 ketch rondolini & figli ketch 64,261600,1976,ketch,rondolini & figli ketch 64,motor glider (sail),64,diesel,other materials,
1991 baltic 641991 baltic 64,652910,1991,baltic,64,other (sailboats),63,diesel,fiberglass / polyester,
1997 custom goetz custom boats volvo 601997 custom goetz custom boats volvo 60,196200,1997,custom,goetz custom boats volvo 60,racer sailboats,63,diesel,other materials,
2005 lagoon royal classic 652005 lagoon royal classic 65,626750,2005,lagoon royal,classic 65,sloop boats,63,diesel,wood,
1998 one-off sailing yacht1998 one-off sailing yacht,501400,1998,one-off,sailing yacht,sloop boats,63,diesel,composite,
2018 bavaria c 65 eigner version2018 bavaria c 65 eigner version,1056210,2018,bavaria,c 65 eigner version,daysailers,63,diesel,fiberglass / polyester,
1984 custom steel ketch1984 custom steel ketch,389675,1984,custom,steel ketch,sloop boats,63,diesel,steel,
1992 custom bruce roberts 641992 custom bruce roberts 64,380410,1992,custom,bruce roberts 64,sailing yachts,63,diesel,other materials,
2002 moody 642002 moody 64,616122,2002,moody,64,sailing yachts,63,diesel,other materials,
1990 baltic 641990 baltic 64,489410,1990,baltic,64,sloop boats,63,diesel,other materials,
1990 baltic 641990 baltic 64,489410,1990,baltic,64,sloop boats,63,diesel,other materials,
1990 baltic 64 centerboard1990 baltic 64 centerboard,534100,1990,baltic,64 centerboard,sailing yachts,63,diesel,fiberglass / polyester,
1984 cheoy lee 63 long range motorsailer1984 cheoy lee 63 long range motorsailer,463250,1984,cheoy lee,63 long range motorsailer,sloop boats,63,other,other materials,
1953 baglietto 20 m marconi cutter1953 baglietto 20 m marconi cutter,539550,1953,baglietto,20 m marconi cutter,classic sailboats,63,diesel,other materials,
2002 farr farr 63 pilot house2002 farr farr 63 pilot house,681250,2002,farr,farr 63 pilot house,daysailers,63,diesel,other materials,
2002 farr 63 pilot house2002 farr 63 pilot house,654000,2002,farr,63 pilot house,sloop boats,63,diesel,other materials,
2022 dufour 612022 dufour 61,1252410,2022,dufour,61,sailing yachts,63,diesel,fiberglass / polyester,
2022 dufour 61 liegeplatz optional in der baltic bay erhältlich2022 dufour 61 liegeplatz optional in der baltic bay erhältlich,0,2022,dufour,61 liegeplatz optional in der baltic bay erhältlich,daysailers,63,diesel,fiberglass / polyester,
1979 bordogna macpi classic bordogna macpi pacific 681979 bordogna macpi classic bordogna macpi pacific 68,218000,1979,bordogna macpi,classic bordogna macpi pacific 68,daysailers,62,diesel,other materials,
1992 custom line gulet-ketch1992 custom line gulet-ketch,321550,1992,custom line,gulet-ketch,motor glider (sail),62,diesel,wood,monohull
1993 lagoon 57 s1993 lagoon 57 s,403300,1993,lagoon,57 s,catamaran,62,diesel,other materials,
1998 walsteds 62´ bill dixon - modern classic design1998 walsteds 62´ bill dixon - modern classic design,501400,1998,walsteds,62´ bill dixon - modern classic design,sailing yachts,62,diesel,fiberglass / polyester,
2008 custom gulet 62 ft2008 custom gulet 62 ft,299750,2008,custom,gulet 62 ft,gulets (sail),62,diesel,wood,
1975 one-off sailing yacht1975 one-off sailing yacht,379320,1975,one-off,sailing yacht,sloop boats,62,diesel,other materials,
1975 one-off sailing yacht1975 one-off sailing yacht,358610,1975,one-off,sailing yacht,sloop boats,62,diesel,other materials,
1983 ta chiao ct-541983 ta chiao ct-54,322640,1983,ta chiao,ct-54,sloop boats,62,diesel,other materials,
1989 bruce roberts 661989 bruce roberts 66,158050,1989,bruce roberts,66,sloop boats,62,diesel,other materials,
2018 lagoon 6202018 lagoon 620,1962000,2018,lagoon,620,sloop boats,62,diesel,other materials,
2014 lagoon lagoon 6202014 lagoon lagoon 620,1526000,2014,lagoon,lagoon 620,daysailers,62,diesel,other materials,
1998 hallberg-rassy 621998 hallberg-rassy 62,746650,1998,hallberg-rassy,62,sailboats with a center cockpit,61,diesel,fiberglass / polyester,monohull
1998 hallberg-rassy 621998 hallberg-rassy 62,746650,1998,hallberg-rassy,62,sloop boats,61,diesel,other materials,
2004 hallberg-rassy hallberg rassy 622004 hallberg-rassy hallberg rassy 62,840608,2004,hallberg-rassy,hallberg rassy 62,sailing yachts,61,diesel,other materials,
2002 azzura 60' canting keel mini maxi2002 azzura 60' canting keel mini maxi,479600,2002,azzura,60' canting keel mini maxi,racer sailboats,60,diesel,composite,
2007 ice yachts felci 612007 ice yachts felci 61,1024600,2007,ice yachts,felci 61,other (sailboats),60,diesel,other materials,
2013 mylius mylius 602013 mylius mylius 60,1177200,2013,mylius,mylius 60,racer/cruiser sailboats,60,diesel,other materials,
2023 jeanneau 602023 jeanneau 60,918652,2023,jeanneau,60,racer/cruiser sailboats,60,diesel,fiberglass / polyester,monohull
1996 x-yachts x-6121996 x-yachts x-612,324820,1996,x-yachts,x-612,sloop boats,60,diesel,other materials,other
2024 sunreef 602024 sunreef 60,0,2024,sunreef,60,catamaran,60,other,composite,catamaran
2020 sunreef 602020 sunreef 60,3815000,2020,sunreef,60,catamaran,60,other,composite,catamaran
1995 x-yachts x-6121995 x-yachts x-612,316100,1995,x-yachts,x-612,racer/cruiser sailboats,60,diesel,fiberglass / polyester,monohull
1992 cdk technologies imoca1992 cdk technologies imoca,125350,1992,cdk technologies,imoca,racer sailboats,59,diesel,composite,
1998 cdk technologies orma 60 trimaran1998 cdk technologies orma 60 trimaran,207100,1998,cdk technologies,orma 60 trimaran,racer sailboats,59,diesel,other materials,
2005 sunreef 602005 sunreef 60,970100,2005,sunreef,60,other (sailboats),59,diesel,fiberglass / polyester,
1995 garcia imoca 601995 garcia imoca 60,158050,1995,garcia,imoca 60,racer sailboats,59,diesel,aluminum,
2023 jeanneau 602023 jeanneau 60,1183936,2023,jeanneau,60,sailing yachts,59,diesel,fiberglass / polyester,monohull
2023 srf colin archer 50 2023 srf colin archer 50 ,948300,2023,srf colin archer 50,,sloop boats,59,diesel,steel,displacement
2010 beneteau oceanis 582010 beneteau oceanis 58,337900,2010,beneteau,oceanis 58,sailing yachts,59,diesel,fiberglass / polyester,
2022 fountaine pajot samana 592022 fountaine pajot samana 59,0,2022,fountaine pajot,samana 59,catamaran,59,diesel,fiberglass / polyester,
2021 custom gulet2021 custom gulet,539550,2021,custom,gulet,gulets (sail),59,diesel,wood,
1992 koopmans 601992 koopmans 60,433820,1992,koopmans,60,sloop boats,59,diesel,aluminum,
2013 bombigher schoner replik  shpountz 44-402013 bombigher schoner replik  shpountz 44-40,304110,2013,bombigher,schoner replik  shpountz 44-40,classic sailboats,59,diesel,wood,
1991 centurion 591991 centurion 59,287760,1991,centurion,59,sloop boats,59,diesel,other materials,
1979 custom crystal chiavari goletta 601979 custom crystal chiavari goletta 60,136250,1979,custom,crystal chiavari goletta 60,classic sailboats,59,diesel,wood,
1986 custom sciarrelli bugeye schooner1986 custom sciarrelli bugeye schooner,218000,1986,custom,sciarrelli bugeye schooner,classic sailboats,59,diesel,other materials,displacement
1979 formosa 51 ketch center cockpit1979 formosa 51 ketch center cockpit,179850,1979,formosa,51 ketch center cockpit,sailing yachts,59,diesel,fiberglass / polyester,displacement
1997 kanter 58 pilothouse1997 kanter 58 pilothouse,0,1997,kanter,58 pilothouse,sloop boats,59,diesel,aluminum,other
2022 reinke hera2022 reinke hera,85565,2022,reinke,hera,sailing yachts,59,diesel,aluminum,
2019 ice yachts ice 602019 ice yachts ice 60,1853000,2019,ice yachts,ice 60,racer/cruiser sailboats,59,diesel,other materials,other
1979 herreshoff bounty1979 herreshoff bounty,50033,1979,herreshoff,bounty,motor glider (sail),58,diesel,fiberglass / polyester,monohull
2008 fairline squadron 582008 fairline squadron 58,614760,2008,fairline,squadron 58,sailing yachts,58,diesel,composite,
1988 nautor swan 581988 nautor swan 58,311740,1988,nautor swan,58,sloop boats,58,diesel,other materials,
1955 abeking & rasmussen 12 kr-yawl1955 abeking & rasmussen 12 kr-yawl,620210,1955,abeking & rasmussen,12 kr-yawl,sailing yachts,58,diesel,wood,
2003 beneteau 572003 beneteau 57,419650,2003,beneteau,57,sloop boats,58,diesel,other materials,
2013 jeanneau 572013 jeanneau 57,347710,2013,jeanneau,57,sloop boats,58,diesel,other materials,
2011 jeanneau 572011 jeanneau 57,397850,2011,jeanneau,57,sloop boats,58,diesel,fiberglass / polyester,monohull
